iter	RMSE
0	8.196460739
1	7.991679803
2	7.790645677
3	7.596832613
4	7.414274646
5	7.240788507
6	7.072075461
7	6.915972485
8	6.764305176
9	6.619293325
10	6.480958416
11	6.348413779
12	6.221828915
13	6.100332171
14	5.989811853
15	5.875146485
16	5.772511594
17	5.669245021
18	5.572130249
19	5.476580586
20	5.387374116
21	5.298953048
22	5.217388702
23	5.139782505
24	5.06107781
25	4.992708679
26	4.918081393
27	4.850559539
28	4.786462404
29	4.726727285
30	4.675029364
31	4.618414662
32	4.558642367
33	4.506214711
34	4.453075947
35	4.405932134
36	4.360691429
37	4.315876914
38	4.277632422
39	4.227109461
40	4.183467691
41	4.139879553
42	4.102175172
43	4.067615353
44	4.032854033
45	3.998155286
46	3.958264742
47	3.923191487
48	3.894365859
49	3.864056245
50	3.830344378
51	3.803753186
52	3.781156427
53	3.74827355
54	3.719251211
55	3.690006353
56	3.661508534
57	3.635960457
58	3.614837714
59	3.58818533
60	3.566980921
61	3.543079981
62	3.518181642
63	3.494960417
64	3.473885845
65	3.452735088
66	3.428933161
67	3.414887789
68	3.398006726
69	3.380205
70	3.360022059
71	3.342535159
72	3.327981127
73	3.310036232
74	3.289494697
75	3.27419913
76	3.256172028
77	3.241375389
78	3.224165241
79	3.206972061
80	3.191813642
81	3.173446127
82	3.159452445
83	3.14505587
84	3.13264276
85	3.118799919
86	3.105789558
87	3.093635233
88	3.078800517
89	3.063646431
90	3.052289887
91	3.037380014
92	3.026024345
93	3.019489234
94	3.005072263
95	2.993568745
96	2.982125829
97	2.972373391
98	2.959876426
99	2.949597045
100	2.940339205
101	2.932670622
102	2.921814791
103	2.910993528
104	2.903117278
105	2.894856014
106	2.885730854
107	2.879267788
108	2.870957217
109	2.861930653
110	2.853073451
111	2.844082732
112	2.836286842
113	2.829332202
114	2.821006472
115	2.813941933
116	2.807963342
117	2.800326038
118	2.791836163
119	2.783930835
120	2.776110804
121	2.770852835
122	2.763112429
123	2.756031757
124	2.749366195
125	2.74296924
126	2.736121434
127	2.730440925
128	2.723105486
129	2.716349244
130	2.70919458
131	2.704002725
132	2.698266034
133	2.692334642
134	2.687198458
135	2.680905606
136	2.675228055
137	2.669694333
138	2.663527908
139	2.658979123
140	2.653880233
141	2.646758194
142	2.642982782
143	2.636392942
144	2.632100447
145	2.627845288
146	2.622642773
147	2.618023457
148	2.614788409
149	2.61101085
150	2.60687143
151	2.602120974
152	2.597257094
153	2.59304668
154	2.590101114
155	2.585966145
156	2.582443063
157	2.578620406
158	2.573377891
159	2.569527545
160	2.566036962
161	2.560571106
162	2.557923299
163	2.55489911
164	2.551863808
165	2.54872017
166	2.544981233
167	2.541000128
168	2.538623798
169	2.535398804
170	2.531295111
171	2.528130886
172	2.524623847
173	2.522066118
174	2.518897553
175	2.51497795
176	2.512050267
177	2.508517321
178	2.50480906
179	2.501636189
180	2.498399316
181	2.495270477
182	2.492699562
183	2.488705732
184	2.484843514
185	2.481417319
186	2.478250646
187	2.475035073
188	2.471462582
189	2.468496208
190	2.46606621
191	2.463199522
192	2.461070459
193	2.458727728
194	2.456251139
195	2.453366653
196	2.450659588
197	2.447823151
198	2.446158684
199	2.444091436
200	2.440150305
201	2.437904477
202	2.435304123
203	2.432722875
204	2.430137285
205	2.428326364
206	2.426576641
207	2.423755109
208	2.421875065
209	2.419242741
210	2.416605249
211	2.414333986
212	2.41094985
213	2.408853995
214	2.407096492
215	2.404738877
216	2.402305266
217	2.400075248
218	2.397410545
219	2.393852731
220	2.391551031
221	2.388215575
222	2.385982551
223	2.383923273
224	2.382500223
225	2.380404084
226	2.378114597
227	2.375523449
228	2.373699233
229	2.371067365
230	2.368299366
231	2.365242923
232	2.361737958
233	2.359192816
234	2.35647215
235	2.353389625
236	2.350897348
237	2.348288693
238	2.346365405
239	2.344129378
240	2.341309131
241	2.339310016
242	2.337288744
243	2.335114407
244	2.333330693
245	2.331678895
246	2.330122445
247	2.327697204
248	2.325577088
249	2.323480837
250	2.321537358
251	2.320302637
252	2.318752591
253	2.316973689
254	2.314556312
255	2.313193992
256	2.311723056
257	2.309282381
258	2.307311212
259	2.305789223
260	2.304068423
261	2.302468324
262	2.299354004
263	2.297425179
264	2.294681356
265	2.292255638
266	2.290921272
267	2.288924553
268	2.287187994
269	2.284621102
270	2.283059955
271	2.281157884
272	2.279214584
273	2.278065206
274	2.276408213
275	2.274705066
276	2.273244535
277	2.271479951
278	2.268847198
279	2.266838839
280	2.264998648
281	2.263044786
282	2.261413913
283	2.259723877
284	2.257637573
285	2.256127439
286	2.254264161
287	2.252449469
288	2.250661829
289	2.247565675
290	2.245723226
291	2.243033667
292	2.241650298
293	2.239955298
294	2.237859451
295	2.236103651
296	2.234441879
297	2.232410406
298	2.230543463
299	2.228822565
300	2.2268046
301	2.225134139
302	2.22377733
303	2.222001591
304	2.220364313
305	2.218688871
306	2.217176798
307	2.215531611
308	2.213961832
309	2.21217671
310	2.210573624
311	2.208841688
312	2.207360318
313	2.205938867
314	2.204110178
315	2.20182084
316	2.200055764
317	2.198319514
318	2.196887514
319	2.194746315
320	2.193051066
321	2.191917092
322	2.190844528
323	2.188802412
324	2.187065388
325	2.185870513
326	2.184314447
327	2.183207506
328	2.181892286
329	2.180299526
330	2.179023591
331	2.17730796
332	2.175842067
333	2.174406565
334	2.173003044
335	2.171642425
336	2.170085132
337	2.168859067
338	2.167449589
339	2.166008021
340	2.164634095
341	2.162593333
342	2.160527617
343	2.159054899
344	2.157087141
345	2.155300847
346	2.153911904
347	2.152328614
348	2.150881388
349	2.149525463
350	2.148324067
351	2.146360936
352	2.144874796
353	2.142989757
354	2.141637858
355	2.140290833
356	2.139068168
357	2.137661565
358	2.136272731
359	2.134590727
360	2.133238033
361	2.131483399
362	2.129991105
363	2.128202485
364	2.126865689
365	2.125668309
366	2.124459091
367	2.122809356
368	2.12077068
369	2.119394531
370	2.118039505
371	2.116474788
372	2.115056039
373	2.113401244
374	2.112103192
375	2.110696524
376	2.108923327
377	2.107838984
378	2.106854694
379	2.105509239
380	2.103969425
381	2.102793447
382	2.101517057
383	2.100071201
384	2.098793321
385	2.097376086
386	2.095744814
387	2.094334735
388	2.093065072
389	2.091701751
390	2.090432203
391	2.089036269
392	2.088007962
393	2.086585916
394	2.08533027
395	2.084273558
396	2.082634953
397	2.08128402
398	2.080302399
399	2.079090945
400	2.077867252
401	2.076676764
402	2.075657696
403	2.074762475
404	2.073219182
405	2.07177691
406	2.070695813
407	2.06949404
408	2.068494943
