iter	Passed	Remaining
0	12	3129
1	28	3412
2	43	3534
3	60	3622
4	75	3646
5	91	3637
6	106	3611
7	121	3586
8	136	3573
9	151	3557
10	166	3547
11	181	3528
12	196	3510
13	214	3540
14	226	3470
15	238	3414
16	250	3353
17	262	3315
18	274	3266
19	285	3215
20	297	3172
21	309	3140
22	321	3107
23	335	3087
24	347	3054
25	359	3029
26	372	3007
27	384	2978
28	396	2953
29	408	2925
30	420	2899
31	432	2875
32	444	2854
33	456	2830
34	467	2807
35	479	2786
36	492	2770
37	504	2748
38	516	2730
39	528	2710
40	541	2693
41	554	2682
42	566	2661
43	577	2639
44	589	2620
45	602	2608
46	615	2591
47	626	2570
48	639	2557
49	651	2542
50	664	2527
51	675	2508
52	688	2492
53	704	2492
54	720	2489
55	737	2488
56	755	2491
57	774	2495
58	791	2496
59	813	2508
60	830	2505
61	845	2495
62	857	2478
63	870	2463
64	883	2445
65	895	2429
66	908	2412
67	920	2396
68	932	2379
69	945	2362
70	956	2343
71	968	2326
72	981	2311
73	994	2298
74	1006	2282
75	1019	2266
76	1032	2252
77	1044	2236
78	1057	2221
79	1069	2205
80	1081	2189
81	1093	2174
82	1106	2160
83	1118	2143
84	1130	2127
85	1142	2111
86	1153	2095
87	1165	2078
88	1178	2065
89	1190	2049
90	1202	2034
91	1214	2020
92	1226	2005
93	1239	1991
94	1252	1977
95	1264	1962
96	1276	1947
97	1288	1932
98	1300	1917
99	1312	1902
100	1326	1890
101	1338	1875
102	1350	1861
103	1361	1846
104	1374	1832
105	1386	1818
106	1398	1803
107	1410	1789
108	1423	1775
109	1435	1761
110	1447	1747
111	1459	1733
112	1472	1720
113	1486	1708
114	1503	1699
115	1518	1688
116	1534	1678
117	1550	1668
118	1566	1658
119	1582	1648
120	1597	1637
121	1614	1628
122	1631	1618
123	1647	1607
124	1663	1597
125	1679	1585
126	1694	1574
127	1709	1562
128	1726	1552
129	1741	1540
130	1757	1529
131	1773	1518
132	1790	1508
133	1807	1497
134	1821	1483
135	1836	1472
136	1853	1461
137	1870	1450
138	1886	1438
139	1903	1427
140	1919	1415
141	1936	1404
142	1952	1392
143	1970	1381
144	1986	1369
145	2003	1358
146	2019	1346
147	2034	1333
148	2049	1320
149	2065	1307
150	2080	1295
151	2094	1281
152	2109	1268
153	2124	1255
154	2138	1241
155	2156	1230
156	2173	1218
157	2190	1206
158	2205	1193
159	2217	1178
160	2229	1163
161	2241	1148
162	2254	1134
163	2266	1119
164	2278	1104
165	2290	1090
166	2302	1075
167	2314	1060
168	2327	1046
169	2339	1031
170	2351	1017
171	2363	1003
172	2376	989
173	2388	974
174	2399	959
175	2412	945
176	2424	931
177	2437	917
178	2448	902
179	2460	888
180	2473	874
181	2485	860
182	2496	845
183	2512	832
184	2524	818
185	2536	804
186	2548	790
187	2560	776
188	2572	762
189	2584	748
190	2597	734
191	2609	720
192	2620	706
193	2635	692
194	2647	678
195	2659	664
196	2670	650
197	2683	636
198	2694	622
199	2706	609
200	2717	594
201	2729	581
202	2740	567
203	2753	553
204	2765	539
205	2779	526
206	2790	512
207	2803	498
208	2814	484
209	2827	471
210	2838	457
211	2851	443
212	2863	430
213	2876	416
214	2888	403
215	2900	389
216	2912	375
217	2925	362
218	2937	348
219	2949	335
220	2962	321
221	2974	308
222	2986	294
223	3001	281
224	3014	267
225	3026	254
226	3037	240
227	3049	227
228	3062	213
229	3074	200
230	3088	187
231	3099	173
232	3112	160
233	3124	146
234	3135	133
235	3147	120
236	3160	106
237	3171	93
238	3183	79
239	3195	66
240	3207	53
241	3218	39
242	3230	26
243	3242	13
244	3254	0
